Title,Description,Values
bütçe export log kayıtları,bütçe_atasay ın akşam export ettiği toptan bütçenin rakamlara bakmak istedik logfiles altında tm bp_transfer klasörü altında perakende_satis_butcesi_ozet cma dosyasından baktığımız ekran görüntüsü ektedir bütçe_atasay ın akşamları export ettiği toptan bütçelerinin olduğu rakamları nereden görebiliriz,2
bi̇ gelmeyen datalar,bi̇ tarafında ttd_geli̇r_tablosu rep_geli̇r_tablosu ttd_gi̇derler rep_gi̇derler küplerinde asgold pirlanta şirketine ait fiili datalar gelmiyor yılı verilerinden kontrol edebilirsiniz ozan view a baktığımızda rakamları görüyoruz kontrol rc tşk,0
cognos mizan uyumsuzluğu,ocak ayına ait cognos mizan bilgilerinin uyuşmadığı görülmektedir sistemin admin tarafından çalıştırılıp albatros mizan rakamları uyumlu hale getirilmesi yardımlarınızı talep eder ii̇yi çalışmalar dileriz,0
all_marka security,performance modeler yetkilendirme yapıyorum fakat elementsecurity_all_marka yeni kullanıcıya yetki verirken boyutun tamamı gelmiyor atasay markalar a yetki veremediğim all_marka boyutunu raporlarda göremiyorlar ben düzeltemedim rica etsem bakabilir misiniz,0
günlük veri processes,dün gece çalışan günlük veride problem mi var toptan giderler gelir tablosu rep ttd küplerinde farklar var ayrıca gelmeyen rakamlar var toptanda şubat tarihli datalar gelmemiş giderlerde şubat sonrasında rep ten ttd ye gelen rakamlar eksik gelir tablosunda şubat sonrasında rep ten ttd ye gelen datalar yanlış ayrıca ttd küpünde şubatta rakam var fakat rep küpünde yok rica etsem kontrol edebilir misiniz,0
toptan data,toptan nın bütün fiili dataları gitmiş sadece yıl bir tane satış görünüyor geçen yılların fiili dataları gitmiş view satışlar görünüyor rica etsem hızlı bir şekilde bakabilir miyiz,0
raporlar hata,raporlarda stok rapor küpü ilgili tm server belirtilen stok_rapor adına sahip bir küp bulunamıyor hatasını veriyor raporlara erişemiyorlar düzeltebilir miyiz,0
bilanço hiyerarşik sıralaması,aktif toplamını minimize etmek istediğimizde ekteki alt kalemler hiyerarşi dışında kalmaktadır bilgilerinize sunarız,0
bütçe modülü,bütçe makinası restart ettikten sonra hala küpleri doldurmaya çalışıyor sanırım applicationlar gelmedi henüz saate kadar uzamıyordu normalde farklı bir durum var kontrol edebilir misiniz,3
mali tablolar segment verileri,cognos mali tablolar segment verileri cognos budget verileri karşılaştırıldığında farklar olduğu tespit edilmiştir ekte bulunan farkların giderilmesi segment dışı budget konsolide toplam segmentler toplamı olarak revize edilmelidir bilgilerinize sunar,0
konsolide kar zarar küpünde gelmeyen rakamlar,fy altındaki fy arabian center dubai fy sahara center sharjah u a e fy city center sharjah u a e mağazalarının gider bütçesi pazarlama satış dağıtım giderleri küpü olduğu halde konsolide kar zarar application daki perakende_satıs_butcesi_ozet küpünde mağazalara ait gider rakamı gelmiyor manuel link mi var bunlarda kontrol eder misiniz rc,0
konsolide kar zarar application gelmeyen data,fy altındaki fy arabian center dubai fy sahara center sharjah u a e fy city center sharjah u a e mağazalarının gider bütçesi olduğu halde pazarlama satış dağıtım giderleri küpü konsolide kar zarar application altındaki parakende_satıs_butcesi_ozet küpünde gider bütçe rakamları gelmiyor manuel link mi var bunlarda kontrol rc,0
eksik gelen data,toptan perakende mart dataları eksik gelmiş full data çekersek uzun süreceğinden sadece mart datalarını çekip aktarabilir miyiz,0
cognos güncelleme saati değişikliği,günlük olarak sabah arası otomatik güncellenen cognos uygulamasının veri raporlama kontrol işlemlerine denk gelmesi sebebi güncelleme saatinin sabah arasına alınmasını talep eder,2
yıl boyutundaki veriler,cognos tm bütçe planlama küpü budget sekmesi yıllar boyutunda elementlerinin gelmediği görülmektedir,0
dönemler arası değişim oranları,cognos tm bütçe planlama küpü budget sekmesi içerisinde dönemler arası değişim oranlarının tamamı olarak hatalı görünmektedir bilgilerinize sunarız,0
tarık gözeller yetki kullanıcı tanımlama,müdürlüğümüz personellerinden tarık gözeller e cognos kullanıcı yetkileri tanımlanmasını talep ederiz yetkilendirme ilgili olarak ömer karabacak kullanıcısı aynı yetkilerin tanımlanması gerekmektedir,2
yetki kontrolü,burak bahçıvan kullanıcısı cognos tm ekranlarına giriş yapmaya çalıştığında ekteki hatayı almaktadır kullanıcının yetki diğer bağlantı kontrollerinin yapılmasını talep eder,2
önceki yıllara ait veirlerin görünmemesi,cognos tm bütçe planlama küpü içerisindeki budget sekmesinde yıllar elementi içerisinde öncesine ait yıllara ilişkin veriler görünmemektedir not yıllarına ait verilerin gelmesi yeterlidir,0
yıllık büyüme oranı,ibm cognos tm application bütçe planlama küpü budget sekmesi içerisinde yer alan büyüme oranı try büyüme oranı orj elementleri bilançoda geçen yıl sonuna göre gelir tablosunda geçen yılın aynı dönemine göre büyümeyi ifade etmektedir bunlara ek olarak büyüme oranı yıllık try büyüme oranı yıllık orj elementlerinin eklenerek bilanço gelir tablosunda bir önceki yılın aynı dönemine göre büyümeyi gösterecek şekilde tasarlanmasını talep etmekteyiz ayrıca yılı ilk üç ay verileri olmasına rağmen büyüme oranı aylar alınarak seçildiğinde bilanço hesap,1
önceki yıllar verilerinin pasif duruma çekilmesi,ibm cognos tm application uygulama yönetimi içerisinde yer alan yıllar yetki versiyon yetki küplerinde read yetkileri tanımlı olup herhangi bir değişiklik yapılamamaktadır finansal raporlama müdürlüğü kullanıcısında yapılan testte geçmiş yıllar bütçe rakamlarına müdahale yapılabildiği görülmüştür bilgilerinize sunulur,3
kullanıcı kısıtları,ibm cognos tm application uygulama yönetimi yıllar yetki sekmesi içerisinde yer alan yıl bazında okuma yazma yetkilerinin verilmesi planlanmaktadır sistemde görünen sadece read yetkisinin yanında write yetkisinin seçilebilmesi gereğini bilgilerinize sunarız,2
erbil mizan ek sayfa açılması,mart ayına ait gelen güncel yurt dışı mizan verisi satırdan oluşmakta olup ilgili alana sığmamaktadır ibm cognos tm application my applications veri ambarı erbil mizan sekmesi içerisine ek sayfa ilave edilmesi gerekmektedir,2
kurumsal performans zaman elementi,genel klasörler ibm cognos tm application my applications kurumsal performans yönetimi içinde yer alan bütün scorecardlarda default olarak mar jun sep dec tarihlerinin gelmesi içim desteğinize ihtiyacımız var,2
v back stage apg özellikleri,genel klasörler ibm cognos tm application my applications v back stage içinde yer alan apg özellikleri sekmesinde yılını seçerek skalaları doldurduğumuzda kurumsal performans yönetimi tarafında yer alan scorekartlarda yer alan ilgili apg lere skalaları tanımlanmamaktadır yardımınızı beklemekteyiz,2
menkul kıymet beklenen zarar karşılığı kırılım eklenmesi,bütçe planlama budget sekmesi içerisinde yer alan menkul değerler cüzdanı içerisinde f türev finansal araçlar diğer kalemi altına g beklenen zarar karşılığı kalemi eklenmesini talep etmekteyiz,2
yıllar yetki sekmesindeki hata,ibm cognos tm application uygulama yönetimi yıllar yetki sekmesi içerisindeki yetkiler write durumundan read durumuna getirildiğinde ilgili hücre pasif duruma düşmekte olup değiştirilememektedir hücreler yerine gider yatırım bütçesi içerisindeki giriş yapılan hücrelerin pasif duruma getirilmesi gerekmektedir,2
mizan güncelleme hatası,cognos ibm cognos tm application uygulama yönetimi içerisinde yer alan güncelleme sekmesindeki kesinleştir butonu çalışmamakta olup mizan güncellemesi yapılamadığı görülmüştür acil yardımlarınızı talep ederiz,0
yeni bütçe kalemi eklenmesi,bütçe planlama budget sekmesi içerisinde yer alan özkaynaklar içerisinde sermaye yedekleri kalemi altına aynı hiyerarşide olmak kaydıyla c sermaye benzeri kredi tier bütçe kalemi eklenmesini talep etmekteyiz,1
mizan güncellemesi,cognos tm mizan güncellemesi yapılmasına rağmen rakamların değişmediği görülmektedir konu ilgili acil yardımlarınızı talep ederiz,0
kullanıcı yetki devri,stratejik planlama müdürlüğü personeli eşref taha koca nın yetkileri kullanıcı giriş yetkisinin finansa genel müdür yardımcısı mustafa çetin e devredilmesini talep ederiz,2
kullanıcı yetki devri,eğitim kariyer yönetimi müdürlüğü çalışanlarından mustafa sepetçi nin cognos giriş diğer kullanıcı yetkilerinin yine aynı müdürlük çalışanı mustafa aydın a devredilmesini talep eder,2
yeni toplayıcı hesap oluşturulması,cognos tm bütçe planlama küpü içerisindeki bugdet sayfasında pasifler altında bulunan alınan krediler para piyasasına borçlar i̇hraç edilen menkul kıymet sermaye benzeri kredi hesaplarının diğer fonlar başlığı açılarak toplayıcı hesabın içerisine taşınmasını talep etmekteyiz,1
karşılık i̇ptali terkinden yapılan tahsilatlar khs dağıtılacak kârlardan ayrılan tutarların i̇ptali bütçe kalemlerinin taşınması,cognos tm bütçe plan budget sekmesi içerisinde diğer kp dışı gelirler geçmiş yıl düzeltme gideri kalemi içerisinde yer alan karşılık i̇ptali terkinden yapılan tahsilatlar khs dağıtılacak kârlardan ayrılan tutarların i̇ptali bütçe kalemlerinin karşılık giderleri içerisine ayrı birer kalem olarak karakterli hesap olarak taşınmasını talep etmekteyiz dileriz,1
cognos mizan güncelleme hatası,cognos mizan güncelleme işlemi yapıldığında erbil verileri eksik gelmektedir ali kılıç kullanıcısı güncelleme yapıldığında veriler tam olarak gelmektedir konuyu bilgilerinize sunar,0
hazine kar payı gideri toplayıcı hesabı,ekteki kalemlerin cognos ta hazine kâr payı giderleri olarak tek bir ana kalemin altında toplulaştırılmasını talep eder,1
karşılık giderleri netleştirilmesi,cognos tm bütçe planlama küpü budget sekmesi içerisinde karşılık giderleri nin diğer kar payı dışı gelirler altında yer alan karşılık iptalleri netleştirilerek ekte olan hiyerarşik yapıya getirilmesini talep ederiz taşıma işlemi sonrasında diğer kar payı gelirler altında sadece aktif satışlar diğer kalemleri kalacaktır,1
by son ay sütununun detaylandırılması,cognos tm gider yatırım küpü içerisinde yer alan sekmelerde yıl sonu tahmini girilmesi istenen son ay tahmini bilgilerinin aylık olarak yeni açılacak olan by by by by by sütunlara girişinin yapılması planlanmaktadır böylece hesaplama yapılırken yıl sonu tahmini yanında son ay tahmini aylık olarak görünebilecektir gereği yardımlarınızı talep ederiz,1
özel karşılık gideri net kalemi hiyerarşik düzenlemesi,özel karşılık net kalemi altına terkin tahsilat karşılık i̇ptali gayrinakdi özel karşılık i̇ptali kalemlerinin eklenerek özel karşılık i̇ptali birlikte özel karşılık i̇ptal gelirleri ana kalemi altında izlenmesini talep eder,1
profit margin oranı eklenmesi,ekte bilanço gelir tablosu hesapları oluşturulması istenen profit margin rasyosu formülasyonu j j j bileşenleri verilmiştir i̇lgili oranların tm bütçe planlama küpü budget sekmesi içerisinde altta gelir tablosundan sonra gelen rasyoların içine eklenmesi gerekmektedir ayrıca alt kışında yer alan i̇htiyari ankes satırından sonra gelmesi uygundur,1
profit margin oranı eklenmesi,ekte bilanço gelir tablosu hesapları oluşturulması istenen profit margin rasyosu formülasyonu j j j bileşenleri verilmiştir i̇lgili oranların tm bütçe planlama küpü budget sekmesi içerisinde altta gelir tablosundan sonra gelen rasyoların içine eklenmesi gerekmektedir ayrıca alt kışımda yer alan i̇htiyari ankes satırından sonra gelmesi uygundur,1
profit margin oranı eklenmesi,ekte bilanço gelir tablosu hesapları oluşturulması istenen profit margin rasyosu formülasyonu j j j bileşenleri verilmiştir i̇lgili oranların tm bütçe planlama küpü budget sekmesi içerisinde altta gelir tablosundan sonra gelen rasyoların içine eklenmesi gerekmektedir ayrıca alt kısımda yer alan i̇htiyari ankes satırından sonra gelmesi uygundur,1
parametreler başlığının oluşturulması,profit margin dahil gelir tablosunda sonra görülen oranların ayrı bir başlık altında bilanço gelir tablosu aynı hiyerarşide olmak şartı parametreler olarak başlıklandırılmasını talep ederiz,1
diğer bütçe yıllarının eklenmesi,bütçeleme çalışmaları kapsamında cari yılda hazırlanacak olan yılı ilgili element içerisinde görünmemektedir acil yardımlarınızı talep ederiz,0
i̇şlerme giderleri toplayıcı hesabı,cognos tm uygulamasındaki gider yatırım bütçesi içerisinde i̇şletme giderleri ana kaleminin ekte belirtilen yere getirilmesini talep eder,1
yeni müdürlüklerin eklenmesi,yatırım bankacılığı müdürlüğü nün yetki tanımlanması müdürlük listesine eklenmesini talep ederiz ayrıca süreç yönetimi organizasyon müdürlüğü isminin i̇ş mükemmelliği i̇novasyon müdürlüğü olarak değiştirilmesini talep ederiz,1
motivasyon primi karsilik gideri,bütçe veri girişi orj den tl girilen verileri kümüle try olarak çevirdiğimizde motivasyon primi karsilik gideri kalemini getirmemektedir gereği bilgilerinize sunar,0
mizan güncelleme hatası,cognos tm uygulama yönetimi küpü içerisinde mizan güncelleme sekmesi çalışmamakta olup uzun süre bekletmektedir sistem güncelleme saatinde herhangi bir değişiklik olup olmadığının kontrol edilmesini talep etmekteyiz dileriz,0
avrupa dijital bankacılık servisinin eklenmesi,avrupa dijital bankacılık servis i isminde bir müdürlük yapısının sisteme eklenerek yılı bütçe girişi yapacak şekilde yetkilendirilmesini talep etmekteyiz dileriz,2
kullanıcı devri,hazine müdürlüğü çalışanlarından şuayb üstüncan ın cognos giriş diğer kullanıcı yetkilerinin yine aynı müdürlük çalışanı reha çetindağ a devredilmesini talep eder,2
caption isimlerinin düzeltilmesi,karşılıklar içerisinde yer alan ekteki isimlerin katılma hesaplarından özel kredi karşılığı olarak değiştirilmesi gerekmektedir,1
son ay verri girişi,by son ay verileri aylık girildikten sonra by son ay sütununun giriş yapılan bilgileri toplaması gerekmektedir yardımlarınızız talep ederiz,1
kullanıcı yetki devri,pazarlama müdürlüğü kullanıcılarından i̇lker çin ın kullanıcı yetkilerinin kaan çelikok a devredilmesini talep etmekteyiz,2
veri girişi sütun düzenlemesi,gider yatırım bütçesi içerisinde veri girişi elementi seçildiğinde giriş görünen dönemlerden by aralık sütununun çıkarılmasını talep etmekteyiz,1
yeni müdürlük eklenmesi,finansal kurumlar yatırımcı i̇lişkileri müdürlüğü finansal kurumlar müdürlüğü murat cankay yatırımcı i̇lişkileri müdürlüğü cihat keskin olarak ayrılmıştır mevcut müdürlüğün cognos sisteminde iki ayrı müdürlük olarak ayrılmasını talep eder,1
kullanıcı yetki devri,ödeme sistemleri operasyon md hakan yazıcı dan alınıp saim şamlı devredilmesini talep etmekteyiz dileriz,2
vergi karşılığı bütçe kaleminin ayrılması,cognos tm bütçe planlama küpü içerisinde budget sekmesinde yer alan gelir tablosunun sonlarında bulunan vergi karşılığı kaleminin kurumlar vergisi karşılığı ertelenmiş vergi giderleri olarak ayrılmasını talep etmekteyiz dileriz,1
bütçe plan gider yatırım bütçesi bğalantısı,bütçe girişi yapan birimlerin konsolide şablonunu bütçe plan dan almak istediğimizde bağlantılı olmadığı giderlerin sıfır olarak geldiği görünmektedir bütçe plan sayfasının gider yatırım bütçesi rakamlarını yansıtmasını talep eder,1
by son ay entegrasyonu,by son ay verileri gider bütçesi sekmesinde görünmesine rağmen bütçe plan sekmesine yansımamaktadır bilgilerinize sunar,0
kullanıcı yetki devri,kredi risk i̇zleme müdürlüğü cognos kullanıcı yetkilerinin onur kalınbaçak tan alınıp mahmut tiryaki ye verilmesini talep etmekteyiz,2
yetki devri,mali i̇şler müdürlüğü cognos giriş yetkilerinin ömer küçükkaya dan alınıp muhammet sadık mert e devredilmesini talep ederiz,2
yetki devri,i̇dari i̇şler md cognos kullanıcı yetkilerinin muammer özçelik ten alınıp i̇smail arık a devredilmesini talep ederiz,2
personel giderleri yeni kırılımları eklenmesi,cognos tm gider yatırım bütçesi içerisinde personel giderleri maaş ücretler içerisinde yer alan alt kalemlere karz i hasen katkı payı kurum sğlk hayat sig mlyt farkı kıdem ödülleri kıdem ödülleri ayrılan kıdem ödülleri çalışan kampanya ödülleri bebek sepeti evlenene altın al kırılımlarının eklenmesini talep eder,1
yeni kurulan sonradan ayrılan müdürlüklerin görünmemesi,yeni kurulan sonradan ayrılan müdürlüklerin gider yatırım bütçesi hiyerarşik yapısında görünmediği belirtilmektedir konu ilgili acil yardımlarınızı talep ederiz,0
yatırım bütçesi eklenmesi istenen alt kalemler,cognos tm yatırım bütçesine eklenmesi talep edilen bütçe kalemleri türüne göre aşağıda belirtilmiştir ticket olarak ayrıca talep merkezine ekleyeceğim buro ekipmanlari mobil cihaz kreş ekipmanları şube kamera sistemleri güvenlik yangın alarm sistemleri şube kartlı geçiş sistemi diger menkuller yangın söndürme cihazları co kg yangın söndürme cihazları kkt kg genel müdürlük lobi tadilatı genel müdürlük bahçe tadilatı genel müdürlük teras kat tadilatı genel müdürlük kreş tadilatı otopark takip sistemi bina girişi y,2
atırım bankacılığı gider yatırım bütçesinin görünmemesi,yatırım bankacılığı müdürlüğü serhan yıldırım kullanıcısı gider yatırım bütçesi küpünü görememektedir yardımlarınızı talep ederiz,0
yatırım bankacılığı gider yatırım bütçesinin görünmemesi,yatırım bankacılığı müdürlüğü serhan yıldırım kullanıcısı gider yatırım bütçesi küpünü görememektedir yardımlarınızı talep ederiz,0
yatırımcı i̇lişkileri md erişim problemi,yatırımcı i̇lişkileri müdürlüğü cognos temsilcisi cihat keskin sisteme giriş yaptığında hiçbir küp görüntüleme izni yoktur uyarı aldığını belirtmektedir yardımlarınızı talep ederiz,0
dış ticaret op md veri giriş hatası,dış ti̇caret op md cognos temsilcili aytuğ mete beder gider yatırım bütçesi küpünü görememektedir yardımlarınızı talep eder,0
reklam i̇lan giderleri alt kırılım düzenlemesi,cognos tm bütçe modülü içerisinde yer alan gider bütçesi kalemlerinden reklam i̇lan giderleri alt kırılımlarının reklam i̇lan giderleri tv reklamı dijital reklam basın reklamı radyo reklamı prodüksiyon promosyon sponsorluk ajans servis ücretleri etkinlik organizasyon diğer reklam giderleri olacak şekilde düzenlenmesini talep eder,1
caption isim değişikliği talebi,cognos tm bütçe modülü gider bütçesi içerisinde yer alan yönetim giderlerinin alt kırılımı olan denetim kurulu huzur hakkı gider isminin danışma kurulu huzur hakkı olarak değiştirilmesi talep edilmektedir gereği yardımlarınızı talep eder,1
yeni kırılım eklenmesi,verilen ücret komisyonlar altına ptt komisyonu alt kırılımının eklenmesini talep eder,1
yetki değişimi,başekonomistlik cognos yetkisinin ömer emeç ten alınıp abdülmelik buğdaya verilmesini talep ediyoruz,2
ali haydar a erişim yetkisi verilmesi,eşref taha koca kullanıcısındaki erişim yetkisinin alınıp ali haydar a verilmesini talep ediyoruz aynı zamanda ticket açma uygulamasına erişimi olmalıdır gereği bilgilerinize,2
aylık artış azalış eklenmesi,budget küpünde olduğu mizan ürün küpünde aylık artış azalış elementi eklemenizi talep ederiz söz konusu element fact_mizan_data boyutunun içerisine eklenecektir,1
büyüme oranı,budget küpünde bütçe planı_pc boyutunda büyüme oranı_try büyüme oranı_orj elementindeki sonuçlar hatalı söz konusu büyüme oranı bir önceki yıla göre büyüme oranını göstermelidir,0
cognos yapılması istenen eklemeler,budget küpünde para birimi boyutunda elementler tp yp olarak gruplandırılabildiği mizan a aynı boyutlandırılabilme özelliğinin eklenmesi budgetta elementlerin usd olarak karşılığı alınabilkdiği mizan a aynı özelliğin eklenmesi,2
birim görünümleri,tm gider yatırım küpü içerisindeki veri giriş sayfalarında birimler rakamlarını girip bütçelerini kesinleştirdikten sonra ilgili birimler sahipliği yokmuş görünmektedir gereği yardımlarınızı talep eder,0
yurtdışı mizan sekmesi sahiplik alamama,eylül ayına ait geçici erbil mizanı yüklemek istediğimde sayfada sahiplik alamadığımızı görmekteyiz aktif pasif uyumu aylık veri yüklememiz gerekmektedir i̇lgili rakamlar gün içinde otomatik olarak gelecek talebimizi kapatabiliriz,0
yeni kalem eklenmesi,bilanço pasiflerin içerisinde toplanan fonlar hazine fonları arasına vekillik sukuk vaad vb bütçe kaleminin eklenmesini kar payı gideri içerisine aynı hiyerarşik düzende ekte bulunan ekran görüntüsü gider kaleminin eklenmesini talep ederiz,1
import i̇şlemlerinde yıl parametresinin eklenmesi,i̇mport ekranlarında yıl bilgisinin sadece aşağıdaki belirtilen modüllerde tanımlı olduğu görülmüştür i̇mport ekranlarında demirbaşlar masraf merkezi sürelerine yıl parametresinin eklenmesini rica ederiz,1
yetki devri,pazarlama müdürlüğü muhammet kiliç kullanıcısına ilişkin cognos yetkisinin mete şahi̇n e devredilmesi talep edilmektedir bütçe ilgili aşağıdaki uygulamalara bütçe planlama mali tablolar gider yatırım bütçesi aşağıdaki küplere budget mizan ürün mizan segment şube mali tablo segment şube mizan segment şube mizan vera mizan ürün albatros mizan ürün vera erişim yetkisi tanımlanmış olmalıdır,2
aktif toplayıcı ana kaleminin görünmemesi,bütçe planlama aktif kalemlerin toplayıcı hesabı alt kırılımları görünmemektedir yardımlarınızı talep ederiz,0
kullanıcı yetki devri,kurumsal satış müdürlüğü burak dağyar kullanıcısına ilişkin cognos yetkisinin emre özkaya devredilmesi talep edilmektedir,2
kullanıcı yetki devri,kurumsal i̇letişim müdürlüğü mahmut esad doğanlı kullanıcısına ilişkin cognos yetkisinin hilal kutay a devredilmesi talep edilmektedir,2
kullanıcı hatası,i̇hsan fatih küçük kullanıcısı uygulama yönetimi nden mizan güncelleme seçeneği verileri güncellemek istediğinde budget sayfasındaki mali tablolar sıfır olarak güncellenmektedir farklı kullanıcı tarafından mizan güncellendikten sonra sayfadaki rakamlar tekrar düzelmektedir gereği yardımlarınızı talep ederiz,0
